sim_time_sec,commanded_effort_Nm,joint_position_rad,joint_velocity_rad_per_sec
1748403545.1650975,200.0,-0.6637903944146587,2.7067578414037565
1748403545.185565,200.0,-0.6089969396811694,2.769750586518019
1748403545.205331,200.0,-0.5529211869982171,2.8350013041427733
1748403545.225163,200.0,-0.4955098242957036,2.9032934866144124
1748403545.2453163,200.0,-0.43669339704376825,2.9754558721462545
1748403545.2658381,200.0,-0.43669339704376825,2.9754558721462545
1748403545.2853906,200.0,-0.37676200948152616,3.000000000011138
1748403545.305259,200.0,-0.3167620094812898,3.0000000000124585
1748403545.3252451,200.0,-0.25676200948102557,3.00000000001391
1748403545.3461444,200.0,-0.19676200948073116,3.0000000000154694
1748403545.365816,200.0,-0.13676200948040476,3.0000000000171028
1748403545.3855524,200.0,-0.07676200948004527,3.000000000018771
1748403545.405677,200.0,-0.016762009479652406,3.0000000000204285
1748403545.425696,200.0,0.04323799052077311,3.0000000000220295
1748403545.4454365,200.0,0.10323799052122964,3.000000000023529
1748403545.4653804,200.0,0.16323799052171478,3.000000000024891
1748403545.4851897,200.0,0.2232379905222255,3.000000000026088
1748403545.5053737,200.0,0.2832379905227582,3.0000000000271028
1748403545.5251234,200.0,0.3432379905233093,3.000000000027929
1748403545.5456097,200.0,0.403237990523875,3.000000000028571
1748403545.5657623,200.0,0.4632379905244516,3.000000000029039
1748403545.5855834,200.0,0.5232379905250358,3.0000000000293503
1748403545.605315,200.0,0.583237990525625,3.000000000029524
1748403545.6251993,200.0,0.6432379905262157,3.000000000029581
1748403545.6455815,200.0,0.7032379905268064,3.0000000000295413
1748403545.665616,200.0,0.763237990527396,3.0000000000294245
1748403545.685324,200.0,0.823237990527983,3.0000000000292477
1748403545.7056332,200.0,0.8832379905285657,3.0000000000290266
1748403545.7252336,200.0,0.9432379905291436,3.0000000000287748
1748403545.745327,200.0,1.0032379905297162,3.0000000000285025
1748403545.7652647,200.0,1.0632379905302836,3.0000000000282196
1748403545.785605,200.0,1.1232379905308447,3.0000000000279345
1748403545.8054686,200.0,1.1832379905314003,3.000000000027653
1748403545.82539,200.0,1.2432379905319506,3.0000000000273803
1748403545.8452537,200.0,1.3032379905324958,3.0000000000271214
1748403545.8653204,200.0,1.3632379905330358,3.00000000002688
1748403545.8861558,200.0,1.423237990533571,3.0000000000266582
1748403545.9053483,200.0,1.423237990533571,3.0000000000266582
1748403545.9255188,200.0,1.4832379905341018,3.0000000000264597
1748403545.9453657,200.0,1.5432379905346287,3.0000000000262856
1748403545.965321,200.0,1.5707963267982317,2.9969481757374794e-11
1748403545.9852827,200.0,1.5707963267988312,3.007379414943223e-11
1748403546.0057063,200.0,1.5707963267994347,3.015238059234093e-11
1748403546.0252638,200.0,1.5707963268000387,3.020608416171022e-11
1748403546.0451713,200.0,1.5707963268006426,3.0235498132968885e-11
1748403546.065362,200.0,1.5707963268012466,3.023897104936779e-11
1748403546.0854645,200.0,1.5707963268018506,3.0220506652689494e-11
1748403546.105581,200.0,1.5707963268024545,3.0177957355270735e-11
1748403546.125376,200.0,1.5707963268030585,3.0110844373432144e-11
1748403546.145399,200.0,1.570796326803659,3.001847728723028e-11
1748403546.1657934,200.0,1.5699496218473317,-0.2851534651809241
1748403546.1857827,200.0,1.5691415191484452,0.178444870481925
1748403546.2056744,200.0,1.5707963267956375,3.0183088667312674e-11
1748403546.2256255,200.0,1.5707963267952276,2.6232360034184055e-11
1748403546.2454104,200.0,1.5707963267957517,2.623242248422919e-11
1748403546.2651503,200.0,1.5707963267962757,2.623251268984994e-11
1748403546.2852006,200.0,1.5707963267967997,2.6232571670448124e-11
1748403546.3050776,200.0,1.5707963267973237,2.6232606364917643e-11
1748403546.3254378,200.0,1.5707963267978478,2.623265146772802e-11
1748403546.3453193,200.0,1.5707963267983718,2.623268963164449e-11
1748403546.3654165,200.0,1.5707963267988958,2.6232717387220106e-11
1748403546.3853946,200.0,1.5707963267994198,2.6232734734454866e-11
1748403546.4052792,200.0,1.5707963267999439,2.6232752081689625e-11
1748403546.4253368,200.0,1.5707963268004679,2.6232755551136577e-11
1748403546.4454908,200.0,1.570796326800992,2.6232783306712193e-11
1748403546.4651608,200.0,1.570796326801516,2.623277983726524e-11
1748403546.48563,200.0,1.57079632680204,2.6232790245606097e-11
1748403546.5051894,200.0,1.570796326802564,2.623281453173476e-11
1748403546.5255535,200.0,1.570796326803088,2.623281106228781e-11
1748403546.5456765,200.0,1.570796326803612,2.6232807592840857e-11
1748403546.5655503,200.0,1.570796326803612,2.6232807592840857e-11
1748403546.5852585,200.0,1.570796326804136,2.6232828409522568e-11
1748403546.6055565,200.0,1.57079632680466,2.6232821470628664e-11
1748403546.6255538,200.0,1.570796326805184,2.623281106228781e-11
1748403546.645258,200.0,1.5707963268057081,2.6232821470628664e-11
1748403546.6657994,200.0,1.5707963268062322,2.6232838817863424e-11
1748403546.6855066,200.0,1.5707963268067562,2.6232821470628664e-11
1748403546.7052433,200.0,1.5707963268072802,2.623283187896952e-11
1748403546.7251358,200.0,1.5707963268078042,2.6232828409522568e-11
1748403546.7454517,200.0,1.5707963268083283,2.6232838817863424e-11
